inclusion,exclusion,subID,explicit,group
5.0,5.0,1001,0.0,1
5.0,9.0,1003,1.0,1
11.0,11.0,1004,1.0,1
5.0,6.0,1005,0.0,1
4.0,6.0,1006,0.0,1
10.0,10.0,1007,1.0,1
6.0,12.0,1008,1.0,1
6.0,6.0,1009,0.0,1
4.0,8.0,1011,0.0,1
4.0,8.0,1012,0.0,1
8.0,8.0,1013,0.0,1
4.0,9.0,1014,0.0,1
8.0,7.0,1015,0.0,1
2.0,5.0,1016,0.0,1
10.0,8.0,1017,0.0,1
3.0,6.0,1018,0.0,1
10.0,11.0,1020,1.0,1
2.0,10.0,2001,0.0,2
2.0,10.0,2002,0.0,2
6.0,8.0,2003,0.0,2
1.0,7.0,2004,0.0,2
5.0,6.0,2005,0.0,2
1.0,11.0,2006,0.0,2
6.0,7.0,2007,0.0,2
1.0,6.0,2008,0.0,2
4.0,7.0,2009,0.0,2
5.0,9.0,2011,1.0,2
3.0,7.0,2012,0.0,2
4.0,5.0,2013,0.0,2
,,2014,,2
5.0,7.0,2015,0.0,2
5.0,4.0,2016,0.0,2
6.0,5.0,2017,0.0,2
4.0,11.0,2018,0.0,2
6.0,11.0,2019,1.0,2
