SubjectID,Task,Block,Group,Mean(RT)
1001,Acquisition,1,Sequence,403.5416667
1001,Acquisition,2,Sequence,401.5416667
1001,Acquisition,3,Sequence,368.3916667
1001,Acquisition,4,Sequence,349.425
1001,Acquisition,5,Sequence,347.625
1001,Acquisition,6,Sequence,320.05
1001,Acquisition,7,Sequence,291.775
1001,Acquisition,8,Sequence,392.7916667
1001,Acquisition,9,Sequence,316.3416667
1001,Acquisition,10,Sequence,293.325
1001,Acquisition,11,Sequence,286.4916667
1001,Acquisition,12,Sequence,254.2666667
1001,Acquisition,13,Sequence,252.9
1001,Acquisition,14,Sequence,378.6083333
1001,Retention,1,Sequence,376.65
1001,Retention,2,Sequence,268.85
1001,Retention,3,Sequence,233.3833333
1001,Retention,4,Sequence,197.025
1001,Retention,5,Sequence,216.15
1001,Retention,6,Sequence,241.8833333
1001,Retention,7,Sequence,365.7166667
1002,Acquisition,1,Sequence,319.7083333
1002,Acquisition,2,Sequence,305.3833333
1002,Acquisition,3,Sequence,265.525
1002,Acquisition,4,Sequence,238.775
1002,Acquisition,5,Sequence,276.9583333
1002,Acquisition,6,Sequence,276.1083333
1002,Acquisition,7,Sequence,248.5333333
1002,Acquisition,8,Sequence,298.4333333
1002,Acquisition,9,Sequence,228.5916667
1002,Acquisition,10,Sequence,143.5916667
1002,Acquisition,11,Sequence,105.125
1002,Acquisition,12,Sequence,85.50833333
1002,Acquisition,13,Sequence,94.80833333
1002,Acquisition,14,Sequence,289.6416667
1003,Acquisition,1,Sequence,492.825
1003,Acquisition,2,Sequence,451.275
1003,Acquisition,3,Sequence,477.75
1003,Acquisition,4,Sequence,492.525
1003,Acquisition,5,Sequence,473.5333333
1003,Acquisition,6,Sequence,335.4166667
1003,Acquisition,7,Sequence,410.6
1003,Acquisition,8,Sequence,593.8416667
1003,Acquisition,9,Sequence,475.9
1003,Acquisition,10,Sequence,510.1333333
1003,Acquisition,11,Sequence,548.8083333
1003,Acquisition,12,Sequence,478.3
1003,Acquisition,13,Sequence,434.35
1003,Acquisition,14,Sequence,433.1416667
1003,Retention,1,Sequence,461.4916667
1003,Retention,2,Sequence,394.1833333
1003,Retention,3,Sequence,413.2833333
1003,Retention,4,Sequence,441.4916667
1003,Retention,5,Sequence,464.6416667
1003,Retention,6,Sequence,399.8166667
1003,Retention,7,Sequence,474.3666667
1004,Acquisition,1,Sequence,389.4583333
1004,Acquisition,2,Sequence,364.1833333
1004,Acquisition,3,Sequence,295.7916667
1004,Acquisition,4,Sequence,266.8166667
1004,Acquisition,5,Sequence,221.175
1004,Acquisition,6,Sequence,138.4333333
1004,Acquisition,7,Sequence,143.0583333
1004,Acquisition,8,Sequence,394.3416667
1004,Acquisition,9,Sequence,197.9333333
1004,Acquisition,10,Sequence,136.3166667
1004,Acquisition,11,Sequence,113.6333333
1004,Acquisition,12,Sequence,129.8083333
1004,Acquisition,13,Sequence,141.0333333
1004,Acquisition,14,Sequence,377.3416667
1004,Retention,1,Sequence,354.2666667
1004,Retention,2,Sequence,159.625
1004,Retention,3,Sequence,148.2916667
1004,Retention,4,Sequence,178.1083333
